Learning Rate,Embedding Dimension,Feed Forward Dimension,Heads,Sequence Length,Loss,Train Time (seconds)
0.001,768,1024,4,256,1.341549635,6811.44359
0.0001,768,1024,4,256,1.407786131,6848.221666
0.0005,768,1024,4,256,1.33681345,6859.520376
0.0005,1024,1024,4,256,1.318817616,7643.940642
0.001,1024,1024,4,256,1.329673648,7646.601557
0.0001,1024,1024,4,256,1.370337963,7587.07959
0.001,768,2048,4,256,1.305278778,7131.80351
0.001,1280,1024,4,256,1.419451356,8442.795708
0.0005,1280,1024,4,256,1.313709974,8588.162703
0.0001,1280,1024,4,256,1.345949531,8534.450116
0.0005,768,2048,4,256,1.310901523,7127.668788
0.0001,768,2048,4,256,1.368744373,7248.309746
0.001,1024,2048,4,256,1.65360105,7978.237566
0.0005,1024,2048,4,256,1.29190135,7992.013846
0.0001,1024,2048,4,256,1.340017676,8002.504304
0.001,768,1024,8,256,1.316674709,6967.62599
0.0005,1280,2048,4,256,1.282087564,8938.969239
0.001,1280,2048,4,256,1.459830642,9018.379607
0.0005,768,1024,8,256,1.325980902,6960.133945
0.0001,1280,2048,4,256,1.317926526,8989.335951
0.0001,768,1024,8,256,1.400938988,7139.288046
0.0005,1024,1024,8,256,1.306210756,7748.24099
0.0001,1024,1024,8,256,1.366437912,7733.619849
0.001,768,2048,8,256,1.294591546,7286.079223
0.0005,768,2048,8,256,1.301392198,7272.777184
0.001,1280,1024,8,256,1.632258415,8553.008324
0.0005,1280,1024,8,256,1.300156236,8643.779444
0.0001,1280,1024,8,256,1.339054704,8602.009213
0.0001,768,2048,8,256,1.367560387,7281.633752
0.001,1024,2048,8,256,1.801191449,8119.260095
0.0001,1024,2048,8,256,1.333039641,8120.872039
0.0005,1024,2048,8,256,1.281701207,8312.863224
0.001,768,1024,4,512,1.341549635,6852.995966
0.0005,768,1024,4,512,1.33681345,6857.596455
0.001,1280,2048,8,256,1.60525775,9000.503284
0.0005,1280,2048,8,256,1.269634128,9054.68959
0.0001,1280,2048,8,256,1.31033659,9051.492136
0.0001,768,1024,4,512,1.407786131,6815.51353
0.0005,1024,1024,4,512,1.318817616,7642.696234
0.001,1024,1024,4,512,1.329673648,7642.433787
0.0001,1024,1024,4,512,1.370337844,7684.046502
0.001,1280,1024,4,512,1.419451475,8455.653774
0.0005,1280,1024,4,512,1.313710093,8588.208106
0.001,768,2048,4,512,1.305278778,7264.941022
0.0005,768,2048,4,512,1.310901523,7219.831617
0.0001,768,2048,4,512,1.368744373,7171.914434
0.0001,1280,1024,4,512,1.345949531,8615.918481
0.001,1024,2048,4,512,1.65360105,7979.91225
0.0005,1024,2048,4,512,1.29190135,7998.241136
0.0001,1024,2048,4,512,1.340017676,7996.500649
0.001,1280,2048,4,512,1.459830642,9012.703208
0.001,768,1024,8,512,1.316674709,7062.367309
0.0005,1280,2048,4,512,1.282087564,8912.96921
0.0005,768,1024,8,512,1.325980902,6961.473418
0.0001,1280,2048,4,512,1.317926526,8920.518193
0.0001,768,1024,8,512,1.400938988,6961.601195
0.001,1024,1024,8,512,1.311743259,7734.993355
0.0005,1024,1024,8,512,1.306210756,7743.501089
0.0001,1024,1024,8,512,1.366437793,7740.93487
0.001,1280,1024,8,512,1.632258415,8689.003423
0.0005,1280,1024,8,512,1.300156236,8716.331543
0.0001,1280,1024,8,512,1.339054704,8602.039736
0.001,768,2048,8,512,1.294591427,7277.855842
0.0001,768,2048,8,512,1.367560387,7270.89155
0.0005,768,2048,8,512,1.301392198,7411.761567
0.001,1024,2048,8,512,1.801191449,8122.167822
0.0005,1024,2048,8,512,1.281701207,8131.829513
0.0001,1024,2048,8,512,1.333039641,8320.389044
0.001,1280,2048,8,512,1.60525775,9091.841076
0.0005,1280,2048,8,512,1.269634128,9034.942711
0.0001,1280,2048,8,512,1.310336471,9054.232322
